speech_id,year,speaker_id,raw_text,clean_text,decade
1020000001,1991,,The Chair lays before the Senate a letter of resignation. a certificate of appointment to fill the vacancy caused by the resignation. two certificates of election for unexpired terms. and the credentials of the 33 Senators elected for 6year terms beginning January 3. 1991. All certificates. the Chair is advised. are in the forms suggested by the Senate or contain all the. essential requirements of the forms suggested by the Senate. Senate,the chair lays before the senate a letter of resignation a certificate of appointment to fill the vacancy caused by the resignation two certificates of election for unexpired terms and the credentials of the 33 senators elected for 6year terms beginning january 3 1991 all certificates the chair is advised are in the forms suggested by the senate or contain all the essential requirements of the forms suggested by the senate senate,1990s
1020000029,1991,102108401,Mr. Presdient. I will momentarily suggest the absence of a quorum so that the roll will be called and a quorum established for the purpose of beginning the proceedings of this Senate. but I believe it appropriate to note at this time for the Members of the Senate and for all Americans that Senator THURMOND has just taken the oath of office to the Senate for the eighth time.,mr presdient i will momentarily suggest the absence of a quorum so that the roll will be called and a quorum established for the purpose of beginning the proceedings of this senate but i believe it appropriate to note at this time for the members of the senate and for all americans that senator thurmond has just taken the oath of office to the senate for the eighth time,1990s
1020000037,1991,,The question is on agreeing to the resolution. The resolution (S. Res. 1) was agreed to. as follows: Resolved. That a committee consisting of two Senators be appointed to join such commitee as may be appointed by the House of Representatives to Wait upon the President of the United States and inform him that a quorum of each House is assembled and that the Congress is ready to receive any communication he may be pleased to make.,the question is on agreeing to the resolution the resolution s res 1 was agreed to as follows resolved that a committee consisting of two senators be appointed to join such commitee as may be appointed by the house of representatives to wait upon the president of the united states and inform him that a quorum of each house is assembled and that the congress is ready to receive any communication he may be pleased to make,1990s
1020000074,1991,,The question is on agreeing to the resolution. The resolution (S. Res. 7) was agreed to. as follows: Resolved. That the reappointment of Michael Davidson to be Senate Legal Counsel made by the President pro tempore of the Senate this day is effective as of January 3. 1991. and the term of service of the appointee shall expire at the end of the One Hundred Third Congress.,the question is on agreeing to the resolution the resolution s res 7 was agreed to as follows resolved that the reappointment of michael davidson to be senate legal counsel made by the president pro tempore of the senate this day is effective as of january 3 1991 and the term of service of the appointee shall expire at the end of the one hundred third congress,1990s
1020000077,1991,102108401,Mr. President. I send -to the desk en bloc 12 unanimousconsent requests and ask that they be immediately considered. that the requests be agreed to en bloc. and. that the motion to reconsider the adoption of these requests be laid upon the table. The unanimousconsent requests. submitted en bloc. are as follows: (1) Mr. President. I ask unanimous consent that for the duration of the 102d Congress. the Ethics Committee be authorized to meet during the session of the Senate. (2) Mr. President. I ask unanimous consent that for the duration of the 102d Congress. there be a limitation of 15 minutes each upon any rollcall vote. with the warning signal to be sounded at the midway point. beginning at the last 7 minutes. and when rollcall votes are of 10minute duration. the warning signal be sounded at the beginning of the last 7 V2 minutes. (3) Mr. President. I ask unanimous consent that during the 102d Congress. it be in order for the Secretary of the Senate to receive reports at the desk when presented by January . 1991 COIN a Senator at any time during the day of the session of the Senate. (4) Mr. President. I ask unanimous consent that the majority and minority leaders may daily have up to 10 minutes each on each calendar day following the prayer and the disposition of the reading of. or the approval of. the Journal. (5) Mr. President. I ask unanimous consent that the Parliamentarian of the House of Representatives and his three assistants. be given the privilege of the floor during the 102d Congress. (6) Mr. President. I ask unanimous consent that. notwithstanding the provisions of rule XXVIII. conference reports and statements accompanying them not be printed as Senate reports when such conference reports and statements have been printed as a House report unless specific request is made in the Senate in each instance to have such a report printed. (7) Mr. President. I ask unanimous consent that the Committee on Appropriations be authorized during the 102d Congress to file reports during adjournments or recesses of the Senate on appropriation bills. including joint resolutions. together with any accompanying notices of motions to suspend rule XVI. pursuant -to rule V. for the purpose of offering certain amendments to such bills or joint resolutions. which proposed amendments shall be printed. (8) Mr. President. I ask unanimous consent that. for the duration of the 102d Congress. the Secretary of the Senate be authorized to make technical and clerical corrections in the engrossments of all Senatepassed bills and resolutions. Senate amendments to House bills and resolutions. Senate amendments to House amendments to Senate bills and resolutions. and Senate amendments to House amendments to Senate amendments to House bills or resolutions. (9) Mr. President. I ask unanimous consent that for the duration of the 102d Congress. when the Senate is in recess or adjournment. the Secretary of the Senate be authorized to receive messages from the President of the United States. andwith the exception of House bills. joint resolutions. and concurrent resolutionsmessages from the House of Representatives: and that they be appropriately referred. and that the President of the Senate. the President pro tempore. and the Actirg President pro tempore be authorized to sign duly enrolled bills and joint resolutions. (10) Mr. President. I ask unanimous consent that for the duration of the 102d Congress. Senators be allowed to leave at the desk with the Journal Clerk the names of two staff members who will be granted the privilege of the floor during the consideration of the specific matter noted. and that the SergeantatArms be instructed to rotate such staff members as space allows. (11) Mr. President. I ask unanimous consent that for the duration of the 102d Congress. it be in order to refer treaties and nominations on the day when they are received from the President. even when the Senate has no executive session that day. (12) Mr. President. I ask unanimous consent that no bills or further resolutions. or Committeereported legislation. other than those whose introduction and consideration have been agreed to by the Majority Leader. following consultation with the Republican leader. be in order prior to January 23. and I further ask unanimous consent that. beginning January 23 and for the remainder of the 102d Congress. Senators may be allowed to bring to the desk bills. joint resolutions. concurrent resolutions. and simple resolutions. for referral to appropriate committees.,mr president i send -to the desk en bloc 12 unanimousconsent requests and ask that they be immediately considered that the requests be agreed to en bloc and that the motion to reconsider the adoption of these requests be laid upon the table the unanimousconsent requests submitted en bloc are as follows 1 mr president i ask unanimous consent that for the duration of the 102d congress the ethics committee be authorized to meet during the session of the senate 2 mr president i ask unanimous consent that for the duration of the 102d congress there be a limitation of 15 minutes each upon any rollcall vote with the warning signal to be sounded at the midway point beginning at the last 7 minutes and when rollcall votes are of 10minute duration the warning signal be sounded at the beginning of the last 7 v2 minutes 3 mr president i ask unanimous consent that during the 102d congress it be in order for the secretary of the senate to receive reports at the desk when presented by january 1991 coin a senator at any time during the day of the session of the senate 4 mr president i ask unanimous consent that the majority and minority leaders may daily have up to 10 minutes each on each calendar day following the prayer and the disposition of the reading of or the approval of the journal 5 mr president i ask unanimous consent that the parliamentarian of the house of representatives and his three assistants be given the privilege of the floor during the 102d congress 6 mr president i ask unanimous consent that notwithstanding the provisions of rule xxviii conference reports and statements accompanying them not be printed as senate reports when such conference reports and statements have been printed as a house report unless specific request is made in the senate in each instance to have such a report printed 7 mr president i ask unanimous consent that the committee on appropriations be authorized during the 102d congress to file reports during adjournments or recesses of the senate on appropriation bills including joint resolutions together with any accompanying notices of motions to suspend rule xvi pursuant -to rule v for the purpose of offering certain amendments to such bills or joint resolutions which proposed amendments shall be printed 8 mr president i ask unanimous consent that for the duration of the 102d congress the secretary of the senate be authorized to make technical and clerical corrections in the engrossments of all senatepassed bills and resolutions senate amendments to house bills and resolutions senate amendments to house amendments to senate bills and resolutions and senate amendments to house amendments to senate amendments to house bills or resolutions 9 mr president i ask unanimous consent that for the duration of the 102d congress when the senate is in recess or adjournment the secretary of the senate be authorized to receive messages from the president of the united states andwith the exception of house bills joint resolutions and concurrent resolutionsmessages from the house of representatives and that they be appropriately referred and that the president of the senate the president pro tempore and the actirg president pro tempore be authorized to sign duly enrolled bills and joint resolutions 10 mr president i ask unanimous consent that for the duration of the 102d congress senators be allowed to leave at the desk with the journal clerk the names of two staff members who will be granted the privilege of the floor during the consideration of the specific matter noted and that the sergeantatarms be instructed to rotate such staff members as space allows 11 mr president i ask unanimous consent that for the duration of the 102d congress it be in order to refer treaties and nominations on the day when they are received from the president even when the senate has no executive session that day 12 mr president i ask unanimous consent that no bills or further resolutions or committeereported legislation other than those whose introduction and consideration have been agreed to by the majority leader following consultation with the republican leader be in order prior to january 23 and i further ask unanimous consent that beginning january 23 and for the remainder of the 102d congress senators may be allowed to bring to the desk bills joint resolutions concurrent resolutions and simple resolutions for referral to appropriate committees,1990s
1020000084,1991,102108401,Mr. President. the 12th of the series of requests does so provide. That has been standard operating procedure in the Senate for many years. In the past as all Senators know. following the constitutionally mandated convening of a new Congress. the Senate has been in recess awaiting the Presidents State of the Union Address and budget. Consistent with that practice. there has developed the practice of there being no bills or resolutions introduced during that period of time. All offices were notified of this on November 30. in writing. Many offices have been in contact with the Senate floor staff. majority and minority. since then with respect to this fact. Accordingly. this resolution provides that. This however also provides that in the event that the Senate is in session prior to the 23d which may well be. which we are going to get to in the next unanimousconsent request. that resolutions would be authorized then under the circumstances set forth in the request. And for the benefit of all of the Senators. I ask that the clerk state request No. 12. I ask unanimous consent that the clerk read request No. 12.,mr president the 12th of the series of requests does so provide that has been standard operating procedure in the senate for many years in the past as all senators know following the constitutionally mandated convening of a new congress the senate has been in recess awaiting the presidents state of the union address and budget consistent with that practice there has developed the practice of there being no bills or resolutions introduced during that period of time all offices were notified of this on november 30 in writing many offices have been in contact with the senate floor staff majority and minority since then with respect to this fact accordingly this resolution provides that this however also provides that in the event that the senate is in session prior to the 23d which may well be which we are going to get to in the next unanimousconsent request that resolutions would be authorized then under the circumstances set forth in the request and for the benefit of all of the senators i ask that the clerk state request no 12 i ask unanimous consent that the clerk read request no 12,1990s
1020000088,1991,102108401,The next item of business is a schedule of Senate activities in the period between now and January 23. And I will ask that be stated. But what I am proposing. following consultation with the Speaker. the distinguished Republican leader. many Senators. is that we cancel the recess. that we come into session on a pro forma basis next week. awaiting the development of events with respect to the Persian Gulf. specifically the Secretary of States visit. and that we assess the situation at that time. that is. sometime during next week as to when would be the appropriate time to recall the Senate for a full session for consideration of that matter.,the next item of business is a schedule of senate activities in the period between now and january 23 and i will ask that be stated but what i am proposing following consultation with the speaker the distinguished republican leader many senators is that we cancel the recess that we come into session on a pro forma basis next week awaiting the development of events with respect to the persian gulf specifically the secretary of states visit and that we assess the situation at that time that is sometime during next week as to when would be the appropriate time to recall the senate for a full session for consideration of that matter,1990s
1020000098,1991,102117411,On the basis that. as this Senator understands the reading of resolution No. 12. if the unanimous consent is forthcoming. if the unanimous consent is adopted. that will preclude until January 23 the introduction of any resolution by any Senator regarding the activities in the Persian Gulf unless unanimous consent is obtained to do just that.,on the basis that as this senator understands the reading of resolution no 12 if the unanimous consent is forthcoming if the unanimous consent is adopted that will preclude until january 23 the introduction of any resolution by any senator regarding the activities in the persian gulf unless unanimous consent is obtained to do just that,1990s
1020000105,1991,102117411,Reserving the right to object. It is not without a heavy heart that I do so. These are not normal times. These are not the times of 6 years ago or 2 years ago. It is the time when America is facing a war. We are assembled here. We have a deadline of January 15 facing us with American men and women who may be dying in combat. I believe it is time for the Senate to debate this Issue. and more specifically. to debate whether or not the President of the United States under the Constitution. must come to the Congress for the power before he can take offensive action. If we are precluded from offering this resolution today. it means that we will not be able to offer it until January 23. which I believe is unbecoming of the U.S. Senate. We are here today. Our troops are in Saudi Arabia. Now is the time to debate it. It is being talked about in coffee shops. workplaces. homes. plants. and factories all over America. yet. we cannot discuss it and debate it today or tomorrow. Mr. President. I have a resolution. along with Senator ADAMs and Senator BURDICK. which this Senator wishes to introduce today. Others may have their own. Now is the time and here is the place to debate the constitutional prerogatives of the President of the United States. not on January 23. but now. before January 15. That is why I reserved the right to object specifically to the 12th unanimousconsent request. understanding full well that the majority leader can preclude the offering by making a motion to adjourn the Senate. This Senator cannot stand here quietly and acquiesce to that unanimousconsent request. with all the high regard and admiration and respect I have for our majority leader. I mean that without qualification. But this Senator cannot stand here and let this opportunity pass without raising his voice in protest on that unanimousconsent request and raising my voice that this Senate should debate this issue today and tomorrow. We are assembled. we are here. We should decide just what the constitutional prerogatives of the President are. Mr. President. I ask that the unanimousconsent requests be separated and that each be taken up individually. rather than en bloc.,reserving the right to object it is not without a heavy heart that i do so these are not normal times these are not the times of 6 years ago or 2 years ago it is the time when america is facing a war we are assembled here we have a deadline of january 15 facing us with american men and women who may be dying in combat i believe it is time for the senate to debate this issue and more specifically to debate whether or not the president of the united states under the constitution must come to the congress for the power before he can take offensive action if we are precluded from offering this resolution today it means that we will not be able to offer it until january 23 which i believe is unbecoming of the u s senate we are here today our troops are in saudi arabia now is the time to debate it it is being talked about in coffee shops workplaces homes plants and factories all over america yet we cannot discuss it and debate it today or tomorrow mr president i have a resolution along with senator adams and senator burdick which this senator wishes to introduce today others may have their own now is the time and here is the place to debate the constitutional prerogatives of the president of the united states not on january 23 but now before january 15 that is why i reserved the right to object specifically to the 12th unanimousconsent request understanding full well that the majority leader can preclude the offering by making a motion to adjourn the senate this senator cannot stand here quietly and acquiesce to that unanimousconsent request with all the high regard and admiration and respect i have for our majority leader i mean that without qualification but this senator cannot stand here and let this opportunity pass without raising his voice in protest on that unanimousconsent request and raising my voice that this senate should debate this issue today and tomorrow we are assembled we are here we should decide just what the constitutional prerogatives of the president are mr president i ask that the unanimousconsent requests be separated and that each be taken up individually rather than en bloc,1990s
1020000108,1991,102108401,First. let me state that on November 30. every Senate office received. in writing. notification of the practice which I have just set forth. Not until this moment has the Senator from Iowa. or any other Senator. chosen or seen fit to come forward and express objections. It has been the practice in the Senate for years. and everybody Vnderstands it. or surely ought to have understood it. and I just wish that If Senators have an objection to a practice that has been the case for years. with respect to which they have received written notice over a month ago. that they would have the courtesy of notifying the majority leader of their objection in advance so that we can attempt to deal with the situation. Accepting all of that. let us get to the merits of the situation. This morning the President announced that he has proposed a meeting between the Secretary of State and the Iraqi Foreign Minister. The dates proposed are next Monday. Tuesday. and Wednesday. I. for one. and the overwhelming majority of Senators with whom I have talked on both sides of the aisle about this subject. believe that a Senate debate on this issue would be much more productive and better informed if we knew If the meetings were going to take place. when they were going to take place. and if they take place. what occurs at the meetings. The Senator from Iowa has repeatedly said. incorrectly. that accepting this precludes any action until the 23d. I have tried to say as clearly as I could to the contrary. that is not the case. As I said. we are going to be in pro forma session next week. It is my expectation that we will be convening to debate this subject. but we want to do it at a time in which we can have a constructive. informed debate that advances the national interest. rather than retard it. So the statement that this is the time and this is the place is the statement of the Senator from Iowa. It may be the place. I do not believe it is the time. I believe we would be better served and best advance our Nations interest. those who agree and disagree with the Senators proposition. to conduct a debate at the time and in a circumstance in which we are best informed as to the current events and we know. for example. what the results of that meeting are. So I suggest to the Senator and to all Members of the Senate that we permit the approval of this request. with the understanding and the expectation that we will be debating this subject at a time that is appropriate and when we know what is going to happen with respect to these meetings and not put ourselves in the position of possibly inadvertently undermining those meetings and the possible productive result that could follow therefrom.,first let me state that on november 30 every senate office received in writing notification of the practice which i have just set forth not until this moment has the senator from iowa or any other senator chosen or seen fit to come forward and express objections it has been the practice in the senate for years and everybody vnderstands it or surely ought to have understood it and i just wish that if senators have an objection to a practice that has been the case for years with respect to which they have received written notice over a month ago that they would have the courtesy of notifying the majority leader of their objection in advance so that we can attempt to deal with the situation accepting all of that let us get to the merits of the situation this morning the president announced that he has proposed a meeting between the secretary of state and the iraqi foreign minister the dates proposed are next monday tuesday and wednesday i for one and the overwhelming majority of senators with whom i have talked on both sides of the aisle about this subject believe that a senate debate on this issue would be much more productive and better informed if we knew if the meetings were going to take place when they were going to take place and if they take place what occurs at the meetings the senator from iowa has repeatedly said incorrectly that accepting this precludes any action until the 23d i have tried to say as clearly as i could to the contrary that is not the case as i said we are going to be in pro forma session next week it is my expectation that we will be convening to debate this subject but we want to do it at a time in which we can have a constructive informed debate that advances the national interest rather than retard it so the statement that this is the time and this is the place is the statement of the senator from iowa it may be the place i do not believe it is the time i believe we would be better served and best advance our nations interest those who agree and disagree with the senators proposition to conduct a debate at the time and in a circumstance in which we are best informed as to the current events and we know for example what the results of that meeting are so i suggest to the senator and to all members of the senate that we permit the approval of this request with the understanding and the expectation that we will be debating this subject at a time that is appropriate and when we know what is going to happen with respect to these meetings and not put ourselves in the position of possibly inadvertently undermining those meetings and the possible productive result that could follow therefrom,1990s
