decade_from,decade,word,cosine_drift,deberta_drift,cluster_migration
1990s,2000s,partnership,0.16348928213119507,,
1990s,2000s,framework,0.2506861686706543,,
1990s,2000s,engagement,0.45160603523254395,,
1990s,2000s,governance,0.35758376121520996,,
1990s,2000s,accountability,0.37582725286483765,,
1990s,2000s,transparency,0.7346872687339783,,
1990s,2000s,compliance,0.19349753856658936,,
1990s,2000s,innovation,0.24815469980239868,,
1990s,2000s,productivity,0.21063315868377686,,
1990s,2000s,efficiency,0.15921515226364136,,
1990s,2000s,competitiveness,0.21501553058624268,,
1990s,2000s,investment,0.14771288633346558,,
1990s,2000s,infrastructure,0.13464224338531494,,
1990s,2000s,healthcare,0.2713726758956909,,
1990s,2000s,insurance,0.15830373764038086,,
1990s,2000s,relief,0.19104629755020142,,
1990s,2000s,aid,0.3289346694946289,,
1990s,2000s,assistance,0.2055070400238037,,
1990s,2000s,oversight,0.20801377296447754,,
1990s,2000s,appropriation,0.16186410188674927,,
1990s,2000s,mandate,0.3945186734199524,,
1990s,2000s,authority,0.10658562183380127,,
1990s,2000s,coordination,0.21268850564956665,,
1990s,2000s,strategy,0.13955825567245483,,
1990s,2000s,operation,0.23842257261276245,,
1990s,2000s,mission,0.17447561025619507,,
1990s,2000s,conflict,0.19479429721832275,,
1990s,2000s,aggression,0.3722960948944092,,
1990s,2000s,threat,0.13203507661819458,,
1990s,2000s,risk,0.13410615921020508,,
1990s,2000s,stewardship,0.4783317446708679,,
1990s,2000s,capacity,0.19369161128997803,,
1990s,2000s,burden,0.19979339838027954,,
1990s,2000s,sacrifice,0.07756680250167847,,
1990s,2000s,patriotism,0.2506263852119446,,
1990s,2000s,responsibility,0.12623929977416992,,
1990s,2000s,obligation,0.1762905716896057,,
1990s,2000s,consensus,0.277107298374176,,
1990s,2000s,bipartisan,0.0959465503692627,,
1990s,2000s,compromise,0.22988587617874146,,
1990s,2000s,unity,0.45137321949005127,,
1990s,2000s,division,0.17360520362854004,,
1990s,2000s,growth,0.10272854566574097,,
1990s,2000s,recovery,0.3038492202758789,,
1990s,2000s,stimulus,0.3472021818161011,,
1990s,2000s,sovereignty,0.30341678857803345,,
1990s,2000s,diplomacy,0.4655974507331848,,
1990s,2000s,sanction,0.6589290499687195,,
1990s,2000s,civilian,0.21374106407165527,,
1990s,2000s,casualty,0.47795921564102173,,
1990s,2000s,collateral,0.33092713356018066,,
1990s,2000s,deployment,0.3206333518028259,,
1990s,2000s,withdrawal,0.2944137454032898,,
2000s,2010s,poverty,0.2758052349090576,,
2000s,2010s,war,0.16551363468170166,,
2000s,2010s,propaganda,0.452134907245636,,
2000s,2010s,surveillance,0.3261263966560364,,
2000s,2010s,occupation,0.46909308433532715,,
2000s,2010s,security,0.23191261291503906,,
2000s,2010s,freedom,0.13636881113052368,,
2000s,2010s,liberty,0.08675581216812134,,
2000s,2010s,justice,0.23766964673995972,,
2000s,2010s,peace,0.3961523771286011,,
2000s,2010s,prosperity,0.17723232507705688,,
2000s,2010s,inflation,0.17357033491134644,,
2000s,2010s,taxation,0.27472519874572754,,
2000s,2010s,regulation,0.19558823108673096,,
2000s,2010s,education,0.2286738157272339,,
2000s,2010s,labor,0.34499359130859375,,
2000s,2010s,welfare,0.4201037287712097,,
2000s,2010s,crisis,0.24687093496322632,,
2000s,2010s,defense,0.20382243394851685,,
2000s,2010s,terror,0.2738274335861206,,
2000s,2010s,terrorism,0.4019469618797302,,
2000s,2010s,deterrence,0.6911327838897705,,
2000s,2010s,intervention,0.29968345165252686,,
2000s,2010s,stability,0.1964050531387329,,
2000s,2010s,reform,0.1950376033782959,,
2000s,2010s,modernization,0.41091322898864746,,
2000s,2010s,transition,0.2718124985694885,,
2000s,2010s,equity,0.33226484060287476,,
2000s,2010s,opportunity,0.07425206899642944,,
2000s,2010s,resilience,0.3823322653770447,,
2000s,2010s,presence,0.4427335262298584,,
2000s,2010s,monitoring,0.37171995639801025,,
2000s,2010s,intelligence,0.3507118225097656,,
2000s,2010s,readiness,0.390064001083374,,
2000s,2010s,initiative,0.20769143104553223,,
2000s,2010s,partnership,0.13637757301330566,,
2000s,2010s,framework,0.3294121026992798,,
2000s,2010s,engagement,0.3433920741081238,,
2000s,2010s,governance,0.4556118845939636,,
2000s,2010s,accountability,0.20457804203033447,,
2000s,2010s,transparency,0.17515850067138672,,
2000s,2010s,compliance,0.2811652421951294,,
2000s,2010s,innovation,0.22748899459838867,,
2000s,2010s,productivity,0.2791793942451477,,
2000s,2010s,efficiency,0.2068854570388794,,
2000s,2010s,competitiveness,0.16257500648498535,,
2000s,2010s,investment,0.12923067808151245,,
2000s,2010s,infrastructure,0.19014430046081543,,
2000s,2010s,healthcare,0.27279675006866455,,
2000s,2010s,insurance,0.2023671269416809,,
2000s,2010s,relief,0.30264443159103394,,
2000s,2010s,aid,0.3997958302497864,,
2000s,2010s,assistance,0.21765822172164917,,
2000s,2010s,oversight,0.15366214513778687,,
2000s,2010s,appropriation,0.1496598720550537,,
2000s,2010s,mandate,0.3089621067047119,,
2000s,2010s,authority,0.12876099348068237,,
2000s,2010s,coordination,0.16217845678329468,,
2000s,2010s,strategy,0.27066177129745483,,
2000s,2010s,operation,0.1746709942817688,,
2000s,2010s,mission,0.16661447286605835,,
2000s,2010s,conflict,0.26414817571640015,,
2000s,2010s,aggression,0.2969776391983032,,
2000s,2010s,threat,0.08836543560028076,,
2000s,2010s,risk,0.12056642770767212,,
2000s,2010s,stewardship,0.454883337020874,,
2000s,2010s,capacity,0.2656724452972412,,
2000s,2010s,burden,0.18853294849395752,,
2000s,2010s,sacrifice,0.08275872468948364,,
2000s,2010s,patriotism,0.25139474868774414,,
2000s,2010s,responsibility,0.12223237752914429,,
2000s,2010s,obligation,0.16032058000564575,,
2000s,2010s,consensus,0.2763102054595947,,
2000s,2010s,bipartisan,0.08323776721954346,,
2000s,2010s,compromise,0.17415225505828857,,
2000s,2010s,unity,0.2842416763305664,,
2000s,2010s,division,0.1503264307975769,,
2000s,2010s,growth,0.10620653629302979,,
2000s,2010s,recovery,0.4704210162162781,,
2000s,2010s,stimulus,0.35181576013565063,,
2000s,2010s,sovereignty,0.45561808347702026,,
2000s,2010s,diplomacy,0.2987183928489685,,
2000s,2010s,sanction,0.335210382938385,,
2000s,2010s,civilian,0.39660322666168213,,
2000s,2010s,casualty,0.4794272184371948,,
2000s,2010s,collateral,0.4162432551383972,,
2000s,2010s,deployment,0.3308732509613037,,
2000s,2010s,withdrawal,0.3856765627861023,,
