decade,Drift_rate,deberta_drift,cluster_migration,deberta_seed_drift,Drift_rate_normalized
1990s,0.2863733532099888,,,0.14911292493343353,1.0
2000s,0.2656930275689596,,,0.1611027547291347,0.0
2010s,0.26614895632321184,,,0.25443780422210693,0.022046497824369737
