decade,chamber,Newspeak_Index
1980s,E,
1980s,H,
1980s,S,
1990s,E,0.0
1990s,H,0.0
1990s,S,0.0
2000s,E,0.0424351288890585
2000s,H,0.042435128889058496
2000s,S,0.0424351288890585
2010s,E,0.049354351878016206
2010s,H,0.0493543518780162
2010s,S,0.0493543518780162
