decade,Diversity_loss,Logic_flat,Drift_rate,Diversity_loss_raw,Logic_flat_raw,Drift_rate_raw,Time,Newspeak_Index
1990s,0.5099304173221196,1.0,0.0,0.0105715851332056,0.0237955115353946,0.0,13,0.0
2000s,1.0,0.0,0.5940918044468201,0.0207314268262754,0.0,0.5940918044468201,14,0.04243512888905858
2010s,0.0,0.7403152781702439,1.0,0.0,0.0176161807415289,1.0,15,0.04935435187801626
