decade,Diversity_loss,Logic_flat,Drift_rate,Diversity_loss_raw,Logic_flat_raw,Drift_rate_raw,Time,Score_raw,Newspeak_Index
1990s,0.0287126698055442,0.0188942994583792,0.285165426374852,0.0287126698055442,0.0188942994583792,0.285165426374852,13,0.013575861688561189,0.0
2000s,0.0282903513258696,0.0170797433986312,0.2600502385490242,0.0282903513258696,0.0170797433986312,0.2600502385490242,14,0.011798503956098258,-0.13092043608255857
2010s,0.0,0.0297377866426593,0.2688432877713984,0.0,0.0297377866426593,0.2688432877713984,15,0.0079948043320569,-0.41110151860244726
