decade,speeches,mean_clean_words,mean_unique_adj_rate
1980s,860,446.38488372093025,0.7864965924584711
1990s,862,383.43619489559165,0.8058480755154499
2000s,1050,494.6333333333333,0.781341128221977
2010s,519,414.2639691714836,0.8046104714738148
