decade_from,decade_to,word,present_from,present_to,shared_anchor_vocab
1990s,2000s,healthcare,False,True,3123
1990s,2000s,insurance,True,True,3123
1990s,2000s,relief,True,True,3123
1990s,2000s,aid,True,True,3123
1990s,2000s,assistance,True,True,3123
1990s,2000s,oversight,True,True,3123
1990s,2000s,appropriation,True,True,3123
1990s,2000s,mandate,True,True,3123
1990s,2000s,authority,True,True,3123
1990s,2000s,coordination,False,True,3123
1990s,2000s,alignment,False,False,3123
1990s,2000s,strategy,True,True,3123
1990s,2000s,tactics,False,False,3123
1990s,2000s,operation,True,True,3123
1990s,2000s,mission,True,True,3123
1990s,2000s,conflict,True,True,3123
1990s,2000s,aggression,True,False,3123
1990s,2000s,threat,True,True,3123
1990s,2000s,risk,True,True,3123
1990s,2000s,stewardship,False,True,3123
1990s,2000s,capacity,True,True,3123
1990s,2000s,priorities,False,False,3123
1990s,2000s,resources,False,False,3123
1990s,2000s,benefits,False,False,3123
1990s,2000s,burden,True,True,3123
1990s,2000s,sacrifice,True,True,3123
1990s,2000s,patriotism,False,True,3123
1990s,2000s,responsibility,True,True,3123
1990s,2000s,obligation,True,True,3123
1990s,2000s,consensus,True,True,3123
1990s,2000s,bipartisan,True,True,3123
1990s,2000s,compromise,True,True,3123
1990s,2000s,unity,False,True,3123
1990s,2000s,division,True,True,3123
1990s,2000s,growth,True,True,3123
1990s,2000s,recovery,True,True,3123
1990s,2000s,austerity,False,False,3123
1990s,2000s,stimulus,False,True,3123
1990s,2000s,sovereignty,True,False,3123
1990s,2000s,diplomacy,False,False,3123
1990s,2000s,sanction,True,True,3123
1990s,2000s,civilian,True,True,3123
1990s,2000s,casualty,True,True,3123
1990s,2000s,collateral,False,False,3123
1990s,2000s,deployment,False,True,3123
1990s,2000s,withdrawal,True,False,3123
2000s,2010s,poverty,True,True,2634
2000s,2010s,war,True,True,2634
2000s,2010s,propaganda,False,False,2634
2000s,2010s,surveillance,True,False,2634
2000s,2010s,occupation,False,True,2634
2000s,2010s,security,True,True,2634
2000s,2010s,freedom,True,True,2634
2000s,2010s,liberty,True,True,2634
2000s,2010s,rights,False,False,2634
2000s,2010s,justice,True,True,2634
2000s,2010s,peace,True,True,2634
2000s,2010s,prosperity,True,True,2634
2000s,2010s,inflation,True,True,2634
2000s,2010s,taxation,True,True,2634
2000s,2010s,regulation,True,True,2634
2000s,2010s,education,True,True,2634
2000s,2010s,labor,True,True,2634
2000s,2010s,welfare,True,True,2634
2000s,2010s,crisis,True,True,2634
2000s,2010s,defense,True,True,2634
2000s,2010s,terror,True,False,2634
2000s,2010s,terrorism,True,True,2634
2000s,2010s,deterrence,False,False,2634
2000s,2010s,intervention,True,False,2634
2000s,2010s,stability,True,True,2634
2000s,2010s,reform,True,True,2634
2000s,2010s,modernization,True,False,2634
2000s,2010s,transition,True,True,2634
2000s,2010s,equity,True,True,2634
2000s,2010s,opportunity,True,True,2634
2000s,2010s,resilience,False,False,2634
2000s,2010s,presence,True,False,2634
2000s,2010s,monitoring,True,False,2634
2000s,2010s,intelligence,True,True,2634
2000s,2010s,readiness,True,True,2634
2000s,2010s,initiative,True,True,2634
2000s,2010s,partnership,True,True,2634
2000s,2010s,framework,True,True,2634
2000s,2010s,engagement,False,False,2634
2000s,2010s,governance,True,False,2634
2000s,2010s,accountability,True,True,2634
2000s,2010s,transparency,True,True,2634
2000s,2010s,compliance,True,False,2634
2000s,2010s,sustainability,False,False,2634
2000s,2010s,innovation,True,True,2634
2000s,2010s,productivity,True,True,2634
2000s,2010s,efficiency,True,False,2634
2000s,2010s,competitiveness,True,False,2634
2000s,2010s,investment,True,True,2634
2000s,2010s,infrastructure,True,True,2634
2000s,2010s,healthcare,True,False,2634
2000s,2010s,insurance,True,True,2634
2000s,2010s,relief,True,True,2634
2000s,2010s,aid,True,True,2634
2000s,2010s,assistance,True,True,2634
2000s,2010s,oversight,True,True,2634
2000s,2010s,appropriation,True,True,2634
2000s,2010s,mandate,True,True,2634
2000s,2010s,authority,True,True,2634
2000s,2010s,coordination,True,False,2634
2000s,2010s,alignment,False,False,2634
2000s,2010s,strategy,True,True,2634
2000s,2010s,tactics,False,False,2634
2000s,2010s,operation,True,True,2634
2000s,2010s,mission,True,True,2634
2000s,2010s,conflict,True,True,2634
2000s,2010s,aggression,False,False,2634
2000s,2010s,threat,True,True,2634
2000s,2010s,risk,True,True,2634
2000s,2010s,stewardship,True,False,2634
2000s,2010s,capacity,True,True,2634
2000s,2010s,priorities,False,False,2634
2000s,2010s,resources,False,False,2634
2000s,2010s,benefits,False,False,2634
2000s,2010s,burden,True,True,2634
2000s,2010s,sacrifice,True,True,2634
2000s,2010s,patriotism,True,False,2634
2000s,2010s,responsibility,True,True,2634
2000s,2010s,obligation,True,True,2634
2000s,2010s,consensus,True,True,2634
2000s,2010s,bipartisan,True,True,2634
2000s,2010s,compromise,True,True,2634
2000s,2010s,unity,True,False,2634
2000s,2010s,division,True,True,2634
2000s,2010s,growth,True,True,2634
2000s,2010s,recovery,True,True,2634
2000s,2010s,austerity,False,False,2634
2000s,2010s,stimulus,True,True,2634
2000s,2010s,sovereignty,False,False,2634
2000s,2010s,diplomacy,False,False,2634
2000s,2010s,sanction,True,False,2634
2000s,2010s,civilian,True,True,2634
2000s,2010s,casualty,True,False,2634
2000s,2010s,collateral,False,False,2634
2000s,2010s,deployment,True,False,2634
2000s,2010s,withdrawal,False,False,2634
