decade,TTR,MATTR,Yule_K,Herdan_C,hapax_ratio,unique_adj_rate,Diversity_loss
1980s,0.49627958507600684,0.5187700538220704,160.4778032182296,0.8765887674530386,0.3451380705558547,0.7755279801814536,0.023158446268942926
1990s,0.48489998611401036,0.5100885440999597,158.25720303501544,0.8725320145358695,0.3305093212513552,0.7739570859173313,0.03950568794798274
2000s,0.48365850984325426,0.5089895882033731,153.81316489457342,0.8726378503691605,0.33012591826000814,0.7782689430966596,0.041575016695072964
2010s,0.5161194561645404,0.5310687816674285,157.3764068814713,0.877766709194431,0.356381638450544,0.8225932288811176,0.0
