decade,avg_amr_depth,avg_amr_nodes,mean_LENS,subordination_ratio,std_amr_depth,std_amr_nodes,Logic_flat
1980s,6.207678110003692,258.3728903654485,0.982147096379073,19.502206591829086,1.1575402705908358,247.8870359941564,0.015497631330599677
1990s,6.1553566825028545,207.18947584060692,0.9862043267165077,16.944702123462477,1.1796812382579966,205.88609784685224,0.023795511535394664
2000s,6.3053968253968256,257.01746598639454,0.9950985185185185,20.924425163678272,1.0198344316150292,228.6520655207451,0.0
2010s,6.194319815273572,220.8596048567147,0.9951568186683794,19.111156329219913,1.1111640610067832,198.47673478298734,0.01761618074152893
